"id","arquivo_txt","scope","uf","municipio","lei_numero","lei_nome","data","url_integra","fonte","tipo_lei","url_usada_extracao","caracteres_txt","sha256_txt","validacao","regiao","ano"
34,"34_municipal_fortaleza_lei_no_11_382_2023.txt","municipal","CE","Fortaleza","Lei nº 11.382/2023","Lei Municipal de Inovação de Fortaleza","2023-08-30 00:00:00","https://www.sefin.fortaleza.ce.gov.br/anexoCT/26/fosj1ldf1.1jw936/pdf/LEI%20N%C2%BA%2011","Secretaria de Finanças de Fortaleza (SEFIN)","marco_cti_inovacao","https://www.sefin.fortaleza.ce.gov.br/anexoCT/26/fosj1ldf1.1jw936/pdf/LEI%20N%C2%BA%2011",22569,"c8ddb6117e0468bbc32bafa4536e6b4f1a6cb55662b35df7cd891d275c27fb06","ok","Nordeste","2023"
35,"35_municipal_vitoria_lei_no_7_871_2009.txt","municipal","ES","Vitória","Lei nº 7.871/2009","Lei Municipal de Inovação de Vitória","2009-12-21 00:00:00","https://camarasempapel.cmv.es.gov.br/Arquivo/Documents/legislacao/html/L78712009.html?identificador=37003800360037003A004C00","Câmara Municipal de Vitória","marco_cti_inovacao","https://camarasempapel.cmv.es.gov.br/Arquivo/Documents/legislacao/html/L78712009.html?identificador=37003800360037003A004C00",33509,"f6ab669409e6f28bb7b72af7fdb18bf006349cd69964505ed1e75188f9a8b32c","ok","Sudeste","2009"
36,"36_municipal_goiania_decreto_no_3_955_2022.txt","municipal","GO","Goiânia","Decreto nº 3.955/2022","Lei municipal de Sandbox Regulatório de Goiania","2022-08-26 00:00:00","https://www.goiania.go.gov.br/html/gabinete_civil/sileg/dados/legis/2022/dc_20220926_000003955.html","Prefeitura de Goiânia","sandbox_regulatorio","https://www.goiania.go.gov.br/html/gabinete_civil/sileg/dados/legis/2022/dc_20220926_000003955.html",27906,"05567e6beef3710639fbfdc6edbcfc188d1381ed649f3545b4d8877fb098cd3b","ok","Centro-Oeste","2022"
37,"37_municipal_belo_horizonte_lei_no_11_838_2025.txt","municipal","MG","Belo Horizonte","Lei nº 11.838/2025","Lei Municipal de Inovação de Belo Horizonte","2025-03-31 00:00:00","https://cmbhsildownload.cmbh.mg.gov.br/silinternet/servico/download/documentoDaNorma?idDocDaNorma=2c907f7695f1daae0195f1ddb4fc0003","Câmara Municipal de Belo Horizonte","marco_cti_inovacao","https://cmbhsildownload.cmbh.mg.gov.br/silinternet/servico/download/documentoDaNorma?idDocDaNorma=2c907f7695f1daae0195f1ddb4fc0003",59372,"425e85c231ba1d01babf3d6f39df14040802bbfc6a025c6055ad3fa9338ccada","ok","Sudeste","2025"
38,"38_municipal_campo_grande_lei_no_6_786_2022.txt","municipal","MS","Campo Grande","Lei nº 6.786/2022","Lei Municipal de Inovação de Campo Grande","2022-03-09 00:00:00","https://oabms.org.br/wp-content/uploads/2022/03/Pol%C3%ADtica-Municipal-de-Inova%C3%A7%C3%A3o.pdf","Ordem dos Advogados do Brasil - Mato Grosso do Sul (OAB-MS)","marco_cti_inovacao","https://oabms.org.br/wp-content/uploads/2022/03/Pol%C3%ADtica-Municipal-de-Inova%C3%A7%C3%A3o.pdf",41915,"4bcc2de5734e4879bb0bb68ebd69bd7d934a2dfd2299c155a5c54744667441a3","ok","Centro-Oeste","2022"
39,"39_municipal_cuiaba_lei_no_6_920_2023.txt","municipal","MT","Cuiabá","Lei nº 6.920/2023","Lei municipal de Fomento às Startups de Cuiabá","2023-04-05 00:00:00","https://legislativo.camaracuiaba.mt.gov.br/Arquivo/Documents/legislacao/html/L69202023.html","Câmara Municipal de Cuiabá","fomento_startups","https://legislativo.camaracuiaba.mt.gov.br/Arquivo/Documents/legislacao/html/L69202023.html",2306,"58c032235e9c10025e8822661a87a1be1c667d93bce7e54afba0ffbe7fd28052","ok","Centro-Oeste","2023"
40,"40_municipal_recife_lei_no_18_974_2022.txt","municipal","PE","Recife","Lei nº 18.974/2022","Lei Municipal de Inovação do Recife","2022-08-31 00:00:00","https://e-processo.recife.pe.leg.br/sapl_documentos/norma_juridica/1345_texto_integral.pdf","Câmara Municipal de Recife","marco_cti_inovacao","https://e-processo.recife.pe.leg.br/sapl_documentos/norma_juridica/1345_texto_integral.pdf",63896,"91b0b0274b808de66edf35ac82b5b792e216e3d53b431bf58355465a6ec1ae47","ok","Nordeste","2022"
41,"41_municipal_teresina_decreto_no_23_821_2023.txt","municipal","PI","Teresina","Decreto nº 23.821/2023","Lei municipal de Sandbox Regulatório de Teresina","2023-03-20 00:00:00","https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2IvcyFBbjhlakNxZ2hFck9vRkxBMW1peHd0VU5VT2Q5P2U9U3V2Uk1v&cid=CE4A84A02A8C1E7F&id=CE4A84A02A8C1E7F%214178&parId=CE4A84A02A8C1E7F%21258&o=OneUp","Centro de Eficiência em Sustentabilidade Urbana (CESU/Teresina)","sandbox_regulatorio","https://www.normasbrasil.com.br/norma/decreto-23821-2023-teresina_443448.html",14020,"25bd2c6c6e7209cc88900135c8d968ef5318cf6f41a7868a7ccd73dfe1f71562","ok","Nordeste","2023"
42,"42_municipal_curitiba_lei_no_15_324_2018.txt","municipal","PR","Curitiba","Lei nº 15.324/2018","Lei Municipal de Inovação de Curitiba","2018-11-09 00:00:00","https://leismunicipais.com.br/a2/pr/c/curitiba/lei-ordinaria/2018/1533/15324/lei-ordinaria-n-15324-2018-dispoe-sobre-incentivos-a-inovacao-e-a-pesquisa-cientifica-e-tecnologica-no-ambiente-produtivo-criacao-do-conselho-municipal-de-inovacao-e-da-outras-providencias-no-mbito-do-municipio-de-curitiba-conforme-o-disposto-na-lei-federal-n-10973-de-2-de-dezembro-de-2004-e-suas-alteracoes?q=15.324","Câmara Municipal de Curitiba","marco_cti_inovacao","https://www.legisweb.com.br/legislacao/?id=369228",30188,"140dceeaed0d5814688d407298e24163a4563b4d082d4c2eadfee8c50ffff36e","ok","Sul","2018"
43,"43_municipal_curitiba_lei_no_16_344_2024.txt","municipal","PR","Curitiba","Lei nº 16.344/2024","Lei municipal de Sandbox Regulatório de Curitiba","2024-06-18 00:00:00","https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2024/1635/16344/lei-ordinaria-n-16344-2024-dispoe-sobre-as-regras-para-a-constituicao-e-normas-gerais-de-funcionamento-de-ambiente-regulatorio-experimental-no-municipio-de-curitiba?q=16.344","Câmara Municipal de Curitiba","sandbox_regulatorio","https://legisladocexterno.curitiba.pr.gov.br/VisualizarHTML.aspx?id=415608",7209,"352184b689feeb048dad2f50e31b866299601605c40ba1ce967b3e5c88d6c02f","ok","Sul","2024"
44,"44_municipal_rio_de_janeiro_lei_no_6_788_2020.txt","municipal","RJ","Rio de Janeiro","Lei nº 6.788/2020","Lei Municipal de Inovação do Rio de Janeiro","2020-10-28 00:00:00","https://aplicnt.camara.rj.gov.br/APL/Legislativos/contlei.nsf/50ad008247b8f030032579ea0073d588/2d41de8972a196e3032586100066ffa2?OpenDocument","Câmara Municipal do Rio de Janeiro","marco_cti_inovacao","https://e.camara.rj.gov.br/Arquivo/Documents/legislacao/html/L67882020.html",273745,"f47f616560663316d21d9853fd5d2b8af698a9afd24b5f1a69ac941caa842850","ok","Sudeste","2020"
45,"45_municipal_rio_de_janeiro_decreto_no_50_697_2022.txt","municipal","RJ","Rio de Janeiro","Decreto nº 50.697/2022","Lei municipal de Sandbox Regulatório do Rio de Janeiro","2022-04-26 00:00:00","https://www.sandboxrio.com.br/anexos/Decreto_sandbox_rio_50697-22.pdf","Prefeitura do Rio de Janeiro","sandbox_regulatorio","https://www.sandboxrio.com.br/anexos/Decreto_sandbox_rio_50697-22.pdf",14048,"19771e78d4222c3f95f4e67db36a7d8d4545eaa415778b00aff8e5da0de024b9","ok","Sudeste","2022"
46,"46_municipal_porto_alegre_lei_complementar_no_906_2021.txt","municipal","RS","Porto Alegre","Lei complementar nº 906/2021","Lei municipal de Incentivos à empresas de tecnologia de Porto Alegre","2021-06-15 00:00:00","https://dopaonlineupload.procempa.com.br/dopaonlineupload/3981_ce_326179_1.pdf","Empresa Pública de Tecnologia da Informação e Comunicação da Prefeitura de Porto Alegre (PROCEMPA)","programa_inovacao","https://dopaonlineupload.procempa.com.br/dopaonlineupload/3981_ce_326179_1.pdf",3957,"22cd5d5999a49282c9a6c686ae6cd16978351ce4c0503e87a904298a7c4f43a5","ok","Sul","2021"
47,"47_municipal_porto_alegre_decreto_no_21_543_2022.txt","municipal","RS","Porto Alegre","Decreto nº 21.543/2022","Lei municipal de Sandbox Regulatório de Porto Alegre","2022-06-27 00:00:00","https://prefeitura.poa.br/sites/default/files/usu_doc/cartadeservicos/4425_ce_367295_1%5B1%5D.pdf","Prefeitura de Porto Alegre","sandbox_regulatorio","https://prefeitura.poa.br/sites/default/files/usu_doc/cartadeservicos/4425_ce_367295_1%5B1%5D.pdf",10273,"81dc49b02b6d903b05b8b0cd9b061fd6e4e22732b5fceb7b85469330e547423b","ok","Sul","2022"
48,"48_municipal_florianopolis_lei_complementar_no_432_2012.txt","municipal","SC","Florianópolis","Lei Complementar nº 432/2012","Lei Municipal de Inovação de Florianópolis","2012-05-07 00:00:00","https://www.cmf.sc.gov.br/proposicoes/leis-complementares/0/13/0/67534","Câmara Municipal de Florianópolis","marco_cti_inovacao","https://www.legisweb.com.br/legislacao/?id=241076",54855,"2bea75df769dd6f837fdc8ffe491ec5c861c605a976fe20c75069252231ebd07","ok","Sul","2012"
49,"49_municipal_aracaju_lei_no_5_540_2022.txt","municipal","SE","Aracajú","Lei nº 5.540/2022","Lei Municipal de Inovação de Aracajú","2022-12-22 00:00:00","https://drive.google.com/file/d/1AXaYvXFwGw78lnVCR8RxSnFcK2TNNyh3/view?usp=sharing","Prefeitura Municipal de Aracajú","marco_cti_inovacao","https://www.legisweb.com.br/legislacao/?id=440314",60771,"0aec725040068c3fe8637b6a3a6b88d5b82ed19aa03d6e4eb1a568d01aadee21","ok","Nordeste","2022"
50,"50_municipal_sao_paulo_lei_no_17_879_2022.txt","municipal","SP","São Paulo","Lei nº 17.879/2022","Lei municipal de Sandbox Regulatório de São Paulo","2022-12-30 00:00:00","https://legislacao.prefeitura.sp.gov.br/leis/lei-17879-de-30-de-dezembro-de-2022","Casa Civil da Prefeitura de São Paulo","sandbox_regulatorio","https://legislacao.prefeitura.sp.gov.br/lei-17879-de-30-de-dezembro-de-2022",9674,"6853148e030400ed5766d0613aced6828f7422ed2ceb7c3a6154ba7ea767b5f4","ok","Sudeste","2022"
51,"51_municipal_sao_paulo_decreto_no_64_062_2025.txt","municipal","SP","São Paulo","Decreto nº 64.062/2025","Lei Municipal de Inovação de São Paulo","2025-02-12 00:00:00","https://legislacao.prefeitura.sp.gov.br/leis/decreto-64062-de-12-de-fevereiro-de-2025","Casa Civil da Prefeitura de São Paulo","marco_cti_inovacao","https://legislacao.prefeitura.sp.gov.br/decreto-64062-de-12-de-fevereiro-de-2025",56139,"6fe21bf876f2af6ee661fa79fcc1d35a6a43f35cd9bfdb0795eaec0e90ba1114","ok","Sudeste","2025"
52,"52_municipal_palmas_lei_no_2_675_2022.txt","municipal","TO","Palmas","Lei nº 2.675/2022","Lei sobre o Conselho e Fundo Municipal de Inovação de Palmas","2022-04-05 00:00:00","https://legislativo.palmas.to.gov.br/media/leis/lei-ordinaria-2.675-2022-04-05-6-4-2022-18-15-21.pdf","Prefeitura de Palmas","governanca_cti","https://legislativo.palmas.to.gov.br/media/leis/lei-ordinaria-2.675-2022-04-05-6-4-2022-18-15-21.pdf",17459,"21919f7fcfd45b0b84c485835fb487e815a3ee0bd3744a962cae81aa9ce36929","ok","Norte","2022"
